#x #y #z #support?
0		0		0	1
0		0.15	0	0
0		1.35	0	0
0		1.5		0	0
0.25	1.5		0	0
2.25	1.5		0	0
2.5		1.5		0	0
2.5		1.35	0	0
2.5		0.15	0	0
2.5		0		0	1
2.675	1.5		0	0
4.075	1.5		0	0
4.25	1.5		0	0
4.25	1.35	0	0
4.25	0.15	0	0
4.25	0		0	1
4.5		1.5		0	0
6.5		1.5		0	0
6.75	1.5		0	0
6.75	1.35	0	0
6.75	0.15	0	0
6.75	0		0	1
0		1.65	0	0
0		2.85	0	0
0		3		0	0
0.25	3		0	0
2.25	3		0	0
2.5		3		0	0
2.5		2.85	0	0
2.5		1.65	0	0
2.675	3		0	0
4.075	3		0	0
4.25	3		0	0
4.25	2.85	0	0
4.25	1.65	0	0
4.5		3		0	0
6.5		3		0	0
6.75	3		0	0
6.75	2.85	0	0
6.75	1.65	0	0
0		3.15	0	0
0		4.35	0	0
0		4.5		0	0
0.25	4.5		0	0
2.25	4.5		0	0
2.5		4.5		0	0
2.5		4.35	0	0
2.5		3.15	0	0
2.675	4.5		0	0
4.075	4.5		0	0
4.25	4.5		0	0
4.25	4.35	0	0
4.25	3.15	0	0
4.5		4.5		0	0
6.5		4.5		0	0
6.75	4.5		0	0
6.75	4.35	0	0
6.75	3.15	0	0
